,HOUR,MAKE,BODY_TYP,MOD_YEAR,AGE,INJ_SEV,REST_USE,EJECTION,VE_FORMS,VSURCOND,ROLLOVER,TRAV_SP,VSPD_LIM,LGT_COND,DIF_SP
11464,0,Dodge,Sedans,7.0,18,No Apparent Injury,1,0,2,0,0,45,45,2,0
11465,4,Jeep,SUVs,9.0,52,No Apparent Injury,1,0,1,0,0,70,70,2,0
11466,4,Jeep,SUVs,9.0,40,No Apparent Injury,1,0,1,0,0,70,70,2,0
11467,4,Jeep,SUVs,9.0,6,No Apparent Injury,1,0,1,0,0,70,70,2,0
11468,4,Jeep,SUVs,9.0,9,No Apparent Injury,1,0,1,0,0,70,70,2,0
11469,1,Honda,Sedans,23.0,39,Fatal Injury,0,1,1,0,2,70,55,2,15
11470,1,Honda,Sedans,23.0,25,Possible Injury,1,0,1,0,2,70,55,2,15
11471,1,Honda,Sedans,23.0,50,Possible Injury,1,0,1,0,2,70,55,2,15
11472,10,Chevrolet,SUVs,13.0,54,No Apparent Injury,1,0,2,0,0,40,45,0,-5
11473,21,Dodge,Sedans,9.0,17,No Apparent Injury,1,0,1,0,0,45,45,2,0
11474,21,Dodge,Sedans,9.0,15,No Apparent Injury,1,0,1,0,0,45,45,2,0
11475,20,BMW,SUVs,5.0,30,No Apparent Injury,1,0,1,0,0,30,30,2,0
11476,8,BMW,Sedans,9.0,47,Fatal Injury,1,0,1,0,0,60,60,0,0
11477,7,Jeep,SUVs,4.0,45,Fatal Injury,1,0,2,0,0,51,45,0,6
11478,7,Dodge,Pickups,11.0,31,Possible Injury,1,0,2,0,0,52,45,0,7
11479,4,Chevrolet,Pickups,14.0,16,Suspected Serious Injury,1,0,1,0,0,64,15,1,49
11480,4,Chevrolet,Pickups,14.0,20,Suspected Serious Injury,1,0,1,0,0,64,15,1,49
11481,4,Chevrolet,Pickups,14.0,17,Suspected Serious Injury,1,0,1,0,0,64,15,1,49
11482,4,Chevrolet,Pickups,14.0,18,Suspected Serious Injury,1,0,1,0,0,64,15,1,49
11483,4,Chevrolet,Pickups,14.0,18,Fatal Injury,0,0,1,0,0,64,15,1,49
11484,19,Chevrolet,Sedans,4.0,18,Fatal Injury,0,0,1,0,0,55,55,0,0
11485,19,Chevrolet,Sedans,4.0,21,Suspected Serious Injury,0,0,1,0,0,55,55,0,0
11486,20,Ford,Sedans,13.0,23,Fatal Injury,0,0,2,0,0,85,35,2,50
11487,20,Ford,Sedans,13.0,23,Fatal Injury,0,0,2,0,0,85,35,2,50
11488,20,Chevrolet,Pickups,7.0,23,Fatal Injury,1,0,1,0,0,80,55,2,25
11489,6,Honda,Sedans,9.0,22,Possible Injury,1,0,2,0,0,40,55,0,-15
11490,6,Honda,Sedans,9.0,55,Fatal Injury,1,0,2,0,0,40,55,0,-15
11491,6,Ford,Pickups,20.0,61,Possible Injury,1,0,2,0,1,55,55,0,0
11492,14,GMC,Pickups,5.0,34,No Apparent Injury,1,0,2,1,0,45,45,0,0
11493,8,Ford,Pickups,18.0,40,No Apparent Injury,1,0,2,0,0,50,55,0,-5
11494,8,Ford,Pickups,18.0,43,Possible Injury,1,0,2,0,0,50,55,0,-5
11495,22,BMW,Sedans,4.0,19,No Apparent Injury,1,0,2,1,0,5,45,2,-40
11496,22,BMW,Sedans,4.0,16,Possible Injury,1,0,2,1,0,5,45,2,-40
11497,15,Chevrolet,SUVs,1.0,20,Possible Injury,1,0,2,1,0,70,70,0,0
11498,15,Chevrolet,SUVs,1.0,48,Possible Injury,1,0,2,1,0,70,70,0,0
11499,15,Chevrolet,SUVs,1.0,19,Possible Injury,1,0,2,1,0,70,70,0,0
11500,15,Chevrolet,SUVs,1.0,9,Possible Injury,1,0,2,1,0,70,70,0,0
11501,15,Chevrolet,SUVs,1.0,2,Fatal Injury,0,0,2,1,0,70,70,0,0
11502,15,Chevrolet,SUVs,1.0,28,Possible Injury,1,0,2,1,0,70,70,0,0
11503,15,Ford,Pickups,2.0,52,Possible Injury,1,0,2,1,0,0,70,0,-70
11504,14,Toyota,Sedans,2.0,16,No Apparent Injury,1,0,1,0,0,25,30,0,-5
11505,17,Chevrolet,SUVs,18.0,35,Fatal Injury,0,0,2,1,0,35,35,0,0
11506,17,BMW,Sedans,12.0,16,Suspected Serious Injury,1,0,2,1,0,67,35,0,32
11507,17,BMW,Sedans,12.0,15,Suspected Serious Injury,1,0,2,1,0,67,35,0,32
11508,17,BMW,Sedans,12.0,17,Suspected Serious Injury,1,0,2,1,0,67,35,0,32
11509,17,BMW,Sedans,12.0,16,Suspected Serious Injury,1,0,2,1,0,67,35,0,32
11510,9,Chevrolet,SUVs,16.0,56,Possible Injury,1,0,3,0,0,45,45,0,0
11511,9,Jeep,SUVs,12.0,71,Fatal Injury,1,0,3,0,0,10,45,0,-35
11512,17,Jeep,SUVs,7.0,36,Possible Injury,1,0,1,1,0,60,70,1,-10
11513,17,Jeep,SUVs,7.0,9,Fatal Injury,1,0,1,1,0,60,70,1,-10
11514,17,Jeep,SUVs,7.0,12,Possible Injury,1,0,1,1,0,60,70,1,-10
